"U1","U2"
0.03105662044287483,0.0
0.0748495243528357,0.0
0.08095998198744032,0.0
0.08263757373813498,0.0
0.08440008808357863,0.0
0.0854535537451941,0.0
0.08601018966026892,0.0
0.08626395901963926,0.0
0.08648124728546167,0.0
0.08637058071583119,0.0
0.0863477250204534,0.0
0.0861160523806078,0.0
0.08377303263958297,0.0
0.07942935376004912,0.0
0.08634338610485691,0.0
0.08678212374859035,0.0
0.08666800081176136,0.0
-0.06931443121123529,0.0
-0.08717307960291514,0.0
-0.08709731017164302,0.0
-0.08706795739675274,0.0
-0.08691978745947937,0.0
-0.08538059145562904,0.0
-0.0810113077660874,0.0
-0.08690216704729244,0.0
-0.08703718400177478,0.0
-0.08702558769893753,0.0
-0.0869576304645839,0.0
-0.0866810807384673,0.0
-0.08605380964603956,0.0
-0.07642522210421848,0.0
-0.06927058682340594,0.0
-0.08178559159127631,0.0
-0.0644635448085466,0.0
0.053156020489910666,0.0
0.05206935814389429,0.0
0.027830916454446592,0.0
