tSolve,objVal,status,iterNum,evalNum
2.6336841583251953,61.682787475848016,Optimal,0,1
0.6977958679199219,62.786539249926506,Optimal,0,2
0.6795599460601807,66.74496297113424,Optimal,0,3
0.7464377880096436,72.7307951125749,Optimal,0,4
1.3910470008850098,78.47149937170877,Optimal,0,5
1.2047719955444336,78.33756459173807,Optimal,0,6
1.3189430236816406,73.93623573594701,Optimal,0,7
1.5316410064697266,72.04656491855684,Optimal,0,8
1.6385931968688965,68.10847750263811,Optimal,0,9
2.31683087348938,67.34742101608585,Optimal,0,10
1.0182299613952637,63.490531540063785,Optimal,0,11
1.2319059371948242,53.09536382988192,Optimal,0,12
1.2611510753631592,41.82704478716195,Optimal,0,13
0.9869329929351807,33.311366900173844,Optimal,0,14
0.9720399379730225,28.47412986137788,Optimal,0,15
0.9615950584411621,24.635761675335292,Optimal,0,16
1.0096380710601807,19.560431567638002,Optimal,0,17
0.926872968673706,14.438722672767161,Optimal,0,18
0.9002780914306641,9.42364088511221,Optimal,0,19
0.813338041305542,4.399811814584372,Optimal,0,20
